listing_number,id,listing_url,name,host_id,host_name,host_since,host_location,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,price,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d,license,instant_bookable,calculated_host_listings_count,reviews_per_month
102,182984,https://www.airbnb.com/rooms/182984,"Central, quiet near the Old Bridge",877420,Filippo,2011-07-27,"Sesto Fiorentino, Toscana, Italy",1,Centro Storico,43.76554,11.2586,Entire home/apt,4,1.0,$80.00,20,50,80,263,1,0,,f,1,0.1
103,189586,https://www.airbnb.com/rooms/189586,Florence Gioberti Suite.,914650,Thomas,2011-08-03,"Florence, Toscana, Italy",2,Campo di Marte,43.77069,11.27713,Entire home/apt,4,1.0,$110.00,15,45,75,327,6,0,,t,2,0.37
104,191323,https://www.airbnb.com/rooms/191323,LOFT PANDO S.CROCE FLORENCE CENTER,914650,Thomas,2011-08-03,"Florence, Toscana, Italy",2,Centro Storico,43.77178,11.26133,Entire home/apt,4,1.0,$110.00,0,0,0,194,0,0,,t,2,0.58
105,193675,https://www.airbnb.com/rooms/193675,romantic apt in San Frediano,939139,Monica,2011-08-08,"Pesaro, Marche, Italy",1,Centro Storico,43.76778,11.24119,Entire home/apt,4,1.0,$49.00,18,48,78,353,10,0,,f,1,0.56
106,197711,https://www.airbnb.com/rooms/197711,"Apartment in the Old Town of Florence,near Dome!",294068,Cheti,2010-11-21,"Florence, Toscana, Italy",2,Centro Storico,43.77249,11.26121,Entire home/apt,3,1.0,$107.00,25,55,85,334,10,0,,f,1,1.03
107,198623,https://www.airbnb.com/rooms/198623,Clean and chip rooms in Florence!!,969697,Mariella,2011-08-14,"Florence, Toscana, Italy",2,Campo di Marte,43.79061,11.27167,Private room,2,1.0,$59.00,0,0,0,199,0,0,,f,1,0.02
108,203083,https://www.airbnb.com/rooms/203083,Fabulous!,995502,Paola,2011-08-20,"Florence, Tuscany, Italy",2,Centro Storico,43.77649,11.25401,Entire home/apt,5,2.0,$194.00,25,55,85,343,0,0,,f,2,1.87
109,205228,https://www.airbnb.com/rooms/205228,B&B FORTEZZA FIORENTINA DOUBLE ROOM,1008798,Massimo,2011-08-23,"Florence, Toscana, Italy",6,Centro Storico,43.77987,11.24381,Hotel room,2,1.0,$49.00,0,28,58,303,0,0,,f,4,0.08
110,206127,https://www.airbnb.com/rooms/206127,Relax in a quite terrance in the heart of Florence,1013874,Claudia&Francesco,2011-08-24,"Florence, Toscana, Italy",1,Centro Storico,43.77902,11.25281,Entire home/apt,3,1.0,$63.00,15,45,75,132,8,0,,f,1,1.54
111,209838,https://www.airbnb.com/rooms/209838,Bright Apartment on 2 levels,1034057,Tommaso&Eleonora,2011-08-29,"Firenze, Toscana, Italy",4,Centro Storico,43.77318,11.24431,Entire home/apt,4,1.0,$68.00,22,52,82,353,11,0,,f,2,2.43
112,209855,https://www.airbnb.com/rooms/209855,OLTRARNO: LOVELY ROOM UNDER A ROOF,1034151,Marta,2011-08-29,"Florence, Tuscany, Italy",2,Isolotto Legnaia,43.77168,11.24029,Private room,2,1.0,$100.00,20,50,80,355,0,0,,f,2,0.42
