,id,listing_url,name,host_id,host_name,host_since,host_location,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,price,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d,license,instant_bookable,calculated_host_listings_count,reviews_per_month
14,43369,https://www.airbnb.com/rooms/43369,Pinzochere Mansarda at SANTA CROCE,4156491,Apartments Florence,2012-11-15,"Florence, Tuscany, Italy",189,Centro Storico,43.76944,11.26331,Entire home/apt,2,1.0,122.0,0,0,0,0,0,0,048017LTN4271,t,125,0.07
15,44781,https://www.airbnb.com/rooms/44781,Stylish Terrace on Boboli Gardens,33210,Rocco,2009-08-22,"Florence, Tuscany, Italy",1,Centro Storico,43.76418,11.24618,Entire home/apt,4,1.0,99.0,13,13,13,214,24,1,,t,1,2.24
16,45606,https://www.airbnb.com/rooms/45606,MATTEO Apart. Florence Centre,202686,Tarcisio,2010-08-16,"Florence, Toscana, Italy",3,Isolotto Legnaia,43.7728,11.23746,Entire home/apt,3,1.0,70.0,2,31,44,319,6,0,,t,3,3.2
17,46520,https://www.airbnb.com/rooms/46520,A Residenza Martin:  Superior room,380378,Officina 360,2011-02-07,"Florence, Tuscany, Italy",36,Centro Storico,43.77699,11.25216,Private room,3,1.0,57.0,25,55,82,345,6,0,,t,26,0.68
18,46523,https://www.airbnb.com/rooms/46523,A Residenza Martin:  Single room,380378,Officina 360,2011-02-07,"Florence, Tuscany, Italy",36,Centro Storico,43.77704,11.25217,Private room,1,1.0,43.0,16,44,74,333,16,5,,t,26,1.59
19,46524,https://www.airbnb.com/rooms/46524,A Residenza Martin:  Deluxe room,380378,Officina 360,2011-02-07,"Florence, Tuscany, Italy",36,Centro Storico,43.777,11.25216,Private room,3,1.0,59.0,24,54,81,344,12,1,,t,26,0.6
20,47498,https://www.airbnb.com/rooms/47498,Leonardo House,215302,Darko,2010-08-28,"Florence, Toscana, Italy",4,Centro Storico,43.77386,11.25028,Private room,3,1.0,46.0,22,52,82,357,6,1,,t,3,3.59
21,48372,https://www.airbnb.com/rooms/48372,Central Single Shared Bathroom,167739,Lorenzo,2010-07-15,"Florence, Toscana, Italy",10,Centro Storico,43.77525,11.25258,Private room,1,1.0,46.0,11,20,50,301,0,0,,f,11,0.03
22,52543,https://www.airbnb.com/rooms/52543,FILIPPO Apartm. FLORENCE CENTER,202686,Tarcisio,2010-08-16,"Florence, Toscana, Italy",3,Isolotto Legnaia,43.77175,11.2364,Entire home/apt,5,1.0,70.0,0,0,0,77,1,0,,t,3,1.48
23,52545,https://www.airbnb.com/rooms/52545,LETIZIA FLORENCE CENTER Apartm.,202686,Tarcisio,2010-08-16,"Florence, Toscana, Italy",3,Isolotto Legnaia,43.77164,11.23819,Entire home/apt,4,1.0,80.0,16,16,16,229,1,0,,t,3,1.64
24,57542,https://www.airbnb.com/rooms/57542,love Florence?love Florentin house,274074,Elly,2010-10-29,"Florence, Toscana, Italy",22,Centro Storico,43.77236,11.24787,Entire home/apt,4,1.0,111.0,10,22,45,320,3,0,,f,12,0.81
25,57572,https://www.airbnb.com/rooms/57572,Camera Verde B&B Leonardo da Vinci,274227,Carla,2010-10-29,"Florence, Toscana, Italy",3,Campo di Marte,43.78244,11.26419,Private room,3,1.0,48.0,0,14,44,316,0,0,,t,3,1.19
