,id,listing_url,last_scraped,host_id,host_since,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,price,minimum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,license,instant_bookable,calculated_host_listings_count,reviews_per_month,days_rented_ltm,rounded_revenue_ltm,occupancy_rate_approx,is_hotel,is_entire,many_listings,only_1_listing,only_2_listings,host_florence,has_liscense,is_instant_bookable,dist_duomo,is_centro,is_gavinana,is_isolotto,is_rifredi,is_campo,listing_revenue_exceed_LTR,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,commercial
4881,23017022,https://www.airbnb.com/rooms/23017022,2021-12-17,170764215,2018-01-30,1,Centro Storico,43.78191,11.25725,Entire home/apt,2,1.0,59.0,3.0,0,0,0,16,30,0,0,,f,1,0.66,0.0,0.0,0.0,0,1,0,1,0,0,1,0,984.0197037648996,1,0,0,0,0,0,0,1,0,1
4882,23029061,https://www.airbnb.com/rooms/23029061,2021-12-17,1366654,2011-11-03,2,Centro Storico,43.76953,11.24054,Entire home/apt,4,1.0,58.0,4.0,1,1,1,1,45,3,0,,f,2,0.99,4.800000000000001,278.4,1.315068493150685,0,1,0,0,1,0,1,0,1306.4126530280787,1,0,0,0,0,0,0,1,0,1
4883,23029669,https://www.airbnb.com/rooms/23029669,2021-12-17,139409780,2017-07-09,2,Centro Storico,43.7734,11.24502,Entire home/apt,4,1.0,72.0,2.0,28,58,88,88,7,2,0,,t,5,0.16,28.0,2016.0,7.671232876712329,0,1,0,0,1,0,1,1,884.6392177235757,1,0,0,0,0,0,0,1,0,1
4884,23029822,https://www.airbnb.com/rooms/23029822,2021-12-17,42972746,2015-08-31,8,Campo di Marte,43.78732,11.26951,Entire home/apt,4,1.0,48.0,2.0,0,0,0,0,13,2,0,,f,8,0.3,3.2,153.6,0.8767123287671234,0,1,1,0,0,0,1,0,1918.09368712226,0,0,0,0,1,0,0,1,1,1
4885,23033007,https://www.airbnb.com/rooms/23033007,2021-12-17,3304278,2012-08-19,2,Rifredi,43.79085,11.24697,Private room,1,1.0,28.0,1.7,0,0,0,0,24,0,0,,t,2,0.52,0.0,0.0,0.0,0,0,0,0,1,0,1,1,2101.865391572516,0,0,0,1,0,0,0,0,0,1
4886,23057581,https://www.airbnb.com/rooms/23057581,2021-12-17,81675607,2016-07-04,3,Centro Storico,43.7759,11.25285,Entire home/apt,3,1.0,50.0,2.0,0,0,0,0,0,0,0,,t,3,,0.0,0.0,0.0,0,1,1,0,0,0,1,1,401.37219166764817,1,0,0,0,0,0,0,1,1,1
4887,23058361,https://www.airbnb.com/rooms/23058361,2021-12-17,171152908,2018-02-01,1,Centro Storico,43.76974,11.26189,Entire home/apt,4,1.0,75.0,3.0,23,40,70,250,10,0,0,,t,1,0.21,0.0,0.0,0.0,0,1,0,1,0,0,1,1,603.5380574684878,1,0,0,0,0,0,0,1,0,1
4888,23068792,https://www.airbnb.com/rooms/23068792,2021-12-17,3328632,2012-08-21,146,Centro Storico,43.77412,11.24966,Entire home/apt,6,3.0,435.0,4.0,7,37,55,274,9,0,0,,t,1,0.2,0.0,0.0,0.0,0,1,1,0,0,0,1,1,522.8665544668248,1,0,0,0,0,0,0,1,1,1
4889,23069244,https://www.airbnb.com/rooms/23069244,2021-12-17,171264395,2018-02-02,1,Campo di Marte,43.76716,11.28129,Entire home/apt,8,3.0,93.0,1.1,19,49,79,344,72,8,2,,t,1,1.57,76.0,7068.0,20.82191780821918,0,1,0,1,0,0,1,1,2140.515053498729,0,0,0,0,1,0,0,1,0,1
4890,23070719,https://www.airbnb.com/rooms/23070719,2021-12-17,171278411,2018-02-02,1,Campo di Marte,43.77085,11.27671,Entire home/apt,2,1.0,80.0,2.0,25,55,85,85,107,0,0,,f,1,2.35,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1686.0549777301312,0,0,0,0,1,0,0,1,0,1
