,id,listing_url,last_scraped,host_id,host_since,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,price,minimum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,license,instant_bookable,calculated_host_listings_count,reviews_per_month,days_rented_ltm,rounded_revenue_ltm,occupancy_rate_approx,is_hotel,is_entire,many_listings,only_1_listing,only_2_listings,host_florence,has_liscense,is_instant_bookable,dist_duomo,is_centro,is_gavinana,is_isolotto,is_rifredi,is_campo,listing_revenue_exceed_LTR,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,commercial,very_likely_commercial,tourist_tax,unpaid_tourist_tax,geom
10,46524,https://www.airbnb.com/rooms/46524,2021-12-17,380378,2011-02-07,36,Centro Storico,43.777,11.25216,Private room,3,1.0,59.0,1.9,24,54,81,344,78,12,1,,t,26,0.6,19.200000000000003,1132.8,5.26027397260274,0,0,1,0,0,1,0,1,532.2991349235758,1,0,0,0,0,0,1,0,1,1,0,115.20000000000002,115.20000000000002,POINT (11.2522 43.777)
11,47498,https://www.airbnb.com/rooms/47498,2021-12-17,215302,2010-08-28,4,Centro Storico,43.77386,11.25028,Private room,3,1.0,46.0,1.3,22,52,82,357,490,6,1,,t,3,3.59,9.6,441.6,2.63013698630137,0,0,1,0,0,1,0,1,468.1989918707479,1,0,0,0,0,0,1,0,1,0,0,57.60000000000001,57.60000000000001,POINT (11.2503 43.7739)
12,52543,https://www.airbnb.com/rooms/52543,2021-12-17,202686,2010-08-16,3,Isolotto Legnaia,43.77175,11.2364,Entire home/apt,5,1.0,70.0,5.0,0,0,0,77,192,1,0,,t,3,1.48,2.5,175.0,0.684931506849315,0,1,1,0,0,1,0,1,1585.150388236866,0,0,1,0,0,0,1,1,1,0,1,15.0,15.0,POINT (11.2364 43.7717)
13,52545,https://www.airbnb.com/rooms/52545,2021-12-17,202686,2010-08-16,3,Isolotto Legnaia,43.77164,11.23819,Entire home/apt,4,1.0,80.0,5.0,16,16,16,229,203,1,0,,t,3,1.64,2.5,200.0,0.684931506849315,0,1,1,0,0,1,0,1,1443.0688664212691,0,0,1,0,0,0,1,1,1,0,1,15.0,15.0,POINT (11.2382 43.7716)
14,57542,https://www.airbnb.com/rooms/57542,2021-12-17,274074,2010-10-29,22,Centro Storico,43.77236,11.24787,Entire home/apt,4,1.0,111.0,3.0,10,22,45,320,106,3,0,,f,12,0.81,4.800000000000001,532.8,1.315068493150685,0,1,1,0,0,1,0,0,659.7039185861533,1,0,0,0,0,0,1,1,1,1,0,28.800000000000004,28.800000000000004,POINT (11.2479 43.7724)
15,57644,https://www.airbnb.com/rooms/57644,2021-12-17,274758,2010-10-30,6,Centro Storico,43.77713,11.26182,Entire home/apt,4,1.0,90.0,3.0,1,13,43,181,76,7,1,,t,5,0.6,11.2,1008.0,3.068493150684932,0,1,1,0,0,1,0,1,648.1059064098607,1,0,0,0,0,0,1,1,1,1,1,67.2,67.2,POINT (11.2618 43.7771)
16,57859,https://www.airbnb.com/rooms/57859,2021-12-17,274074,2010-10-29,22,Centro Storico,43.77652,11.25588,Entire home/apt,3,1.0,90.0,3.0,14,14,28,275,156,8,0,,t,12,1.21,12.8,1152.0,3.5068493150684934,0,1,1,0,0,1,0,1,380.1116283759926,1,0,0,0,0,0,1,1,1,1,1,76.80000000000001,76.80000000000001,POINT (11.2559 43.7765)
17,60838,https://www.airbnb.com/rooms/60838,2021-12-17,293716,2010-11-21,1,Centro Storico,43.77263,11.26316,Entire home/apt,4,2.0,88.0,3.0,24,54,84,264,85,2,0,,f,1,0.65,3.2,281.6,0.8767123287671234,0,1,0,1,0,1,0,0,578.8230747228569,1,0,0,0,0,0,1,1,0,0,0,19.200000000000003,19.200000000000003,POINT (11.2632 43.7726)
18,64023,https://www.airbnb.com/rooms/64023,2021-12-17,96905,2010-03-21,3,Centro Storico,43.77089,11.25966,Entire home/apt,2,1.0,60.0,17.2,4,4,13,202,154,3,0,,t,3,1.2,25.8,1548.0,7.06849315068493,0,1,1,0,0,1,0,1,383.5729010354096,1,0,0,0,0,0,1,1,1,0,1,154.79999999999998,154.79999999999998,POINT (11.2597 43.7709)
19,67725,https://www.airbnb.com/rooms/67725,2021-12-17,167739,2010-07-15,10,Centro Storico,43.77525,11.25258,Private room,3,1.0,90.0,2.0,26,30,30,221,4,1,0,,f,11,0.05,1.6,144.0,0.4383561643835617,0,0,1,0,0,1,0,0,364.5251050727623,1,0,0,0,0,0,1,0,1,1,0,9.6,9.6,POINT (11.2526 43.7752)
20,68273,https://www.airbnb.com/rooms/68273,2021-12-17,338220,2011-01-07,4,Centro Storico,43.77931,11.25805,Entire home/apt,3,1.0,124.0,3.0,0,0,0,76,40,6,0,,t,1,0.3,9.6,1190.4,2.63013698630137,0,1,1,0,0,1,0,1,709.4436409958058,1,0,0,0,0,0,1,1,1,0,1,57.60000000000001,57.60000000000001,POINT (11.2581 43.7793)
21,68530,https://www.airbnb.com/rooms/68530,2021-12-17,340421,2011-01-09,1,Centro Storico,43.77597,11.25035,Entire home/apt,6,2.0,80.0,3.0,11,41,71,274,76,10,3,,t,1,0.59,16.0,1280.0,4.383561643835616,0,1,0,1,0,1,0,1,555.5157174200424,1,0,0,0,0,0,1,1,0,0,0,96.0,96.0,POINT (11.2503 43.776)
22,70885,https://www.airbnb.com/rooms/70885,2021-12-17,167739,2010-07-15,10,Centro Storico,43.77525,11.25258,Private room,2,1.0,57.0,2.0,25,33,33,230,21,1,0,,f,11,0.16,1.6,91.2,0.4383561643835617,0,0,1,0,0,1,0,0,364.5251050727623,1,0,0,0,0,0,1,0,1,1,0,9.6,9.6,POINT (11.2526 43.7752)
23,71605,https://www.airbnb.com/rooms/71605,2021-12-17,167739,2010-07-15,10,Centro Storico,43.77525,11.25258,Private room,2,1.0,72.0,2.0,26,56,86,337,18,3,1,,f,11,0.14,4.800000000000001,345.6,1.315068493150685,0,0,1,0,0,1,0,0,364.5251050727623,1,0,0,0,0,0,1,0,1,1,0,28.800000000000004,28.800000000000004,POINT (11.2526 43.7752)
24,73345,https://www.airbnb.com/rooms/73345,2021-12-17,382561,2011-02-08,6,Centro Storico,43.76971,11.2518,Entire home/apt,4,1.0,68.0,2.0,18,48,78,337,102,16,0,,t,4,1.49,25.6,1740.8,7.013698630136987,0,1,1,0,0,1,0,1,506.1810127397604,1,0,0,0,0,0,1,1,1,1,1,153.60000000000002,153.60000000000002,POINT (11.2518 43.7697)
25,73739,https://www.airbnb.com/rooms/73739,2021-12-17,385786,2011-02-10,1,Isolotto Legnaia,43.76988,11.23978,Entire home/apt,4,1.0,72.0,3.0,15,15,15,274,36,2,0,,t,1,0.28,3.2,230.4,0.8767123287671234,0,1,0,1,0,0,0,1,1354.046828622152,0,0,1,0,0,0,1,1,0,1,0,19.200000000000003,19.200000000000003,POINT (11.2398 43.7699)
26,74682,https://www.airbnb.com/rooms/74682,2021-12-17,386165,2011-02-10,1,Centro Storico,43.77243,11.24519,Entire home/apt,2,1.0,38.0,1.0,3,8,13,261,850,47,2,,f,1,6.53,75.2,2857.6,20.6027397260274,0,1,0,1,0,1,0,0,873.5090294238595,1,0,0,0,0,0,1,1,0,0,0,451.2000000000001,451.2000000000001,POINT (11.2452 43.7724)
27,77570,https://www.airbnb.com/rooms/77570,2021-12-17,416144,2011-03-01,2,Centro Storico,43.77272,11.25914,Entire home/apt,4,2.0,130.0,2.0,0,21,46,224,545,59,5,,t,1,5.01,94.4,12272.0,25.863013698630137,0,1,0,0,1,1,0,1,256.30744400606943,1,0,0,0,0,0,1,1,0,0,0,566.4000000000001,566.4000000000001,POINT (11.2591 43.7727)
28,83045,https://www.airbnb.com/rooms/83045,2021-12-17,405852,2011-02-23,2,Centro Storico,43.76807,11.25997,Entire home/apt,10,5.0,320.0,4.0,12,42,63,241,185,5,1,,f,1,1.62,10.0,3200.0,2.73972602739726,0,1,0,0,1,1,0,0,643.8241896361178,1,0,0,0,0,0,1,1,0,0,0,60.0,60.0,POINT (11.26 43.7681)
29,84829,https://www.airbnb.com/rooms/84829,2021-12-17,463865,2011-03-26,2,Centro Storico,43.77358,11.25723,Entire home/apt,4,1.0,105.0,4.0,22,52,82,277,92,11,1,,f,1,0.71,22.0,2310.0,6.027397260273973,0,1,0,0,1,1,0,0,112.47622726871994,1,0,0,0,0,0,1,1,0,0,0,132.0,132.0,POINT (11.2572 43.7736)
30,87404,https://www.airbnb.com/rooms/87404,2021-12-17,478796,2011-04-02,3,Centro Storico,43.77892,11.25135,Private room,2,1.0,109.0,3.0,20,50,80,355,27,12,0,,f,3,0.21,19.200000000000003,2092.8,5.26027397260274,0,0,1,0,0,1,0,0,747.1934602071742,1,0,0,0,0,0,1,0,1,0,0,115.20000000000002,115.20000000000002,POINT (11.2514 43.7789)
31,89856,https://www.airbnb.com/rooms/89856,2021-12-17,488317,2011-04-06,35,Centro Storico,43.76801,11.26212,Entire home/apt,4,2.0,153.0,2.0,5,35,65,314,104,13,1,048017LTN3278,t,34,0.89,20.8,3182.4,5.698630136986302,0,1,1,0,0,1,1,1,750.0906373068054,1,0,0,0,0,0,0,1,1,1,1,124.8,115.20000000000002,POINT (11.2621 43.768)
32,90557,https://www.airbnb.com/rooms/90557,2021-12-17,490856,2011-04-07,1,Campo di Marte,43.77017,11.27702,Entire home/apt,1,1.0,80.0,1.0,0,14,44,319,45,2,0,,f,1,0.48,3.2,256.0,0.8767123287671234,0,1,0,1,0,1,0,0,1723.413654909083,0,0,0,0,1,0,1,1,0,0,0,19.200000000000003,19.200000000000003,POINT (11.277 43.7702)
33,94913,https://www.airbnb.com/rooms/94913,2021-12-17,506219,2011-04-13,6,Centro Storico,43.76971,11.24542,Private room,3,1.0,45.0,2.0,6,20,25,228,355,19,5,,t,2,2.77,30.4,1368.0,8.32876712328767,0,0,1,0,0,1,0,1,931.3905736328434,1,0,0,0,0,0,1,0,1,1,0,182.4,182.4,POINT (11.2454 43.7697)
34,109302,https://www.airbnb.com/rooms/109302,2021-12-17,564660,2011-05-07,2,Centro Storico,43.77082,11.25711,Private room,2,1.0,65.0,2.0,28,58,88,363,100,1,0,,f,1,0.79,1.6,104.0,0.4383561643835617,0,0,0,0,1,1,0,0,268.62760082401314,1,0,0,0,0,0,1,0,0,0,0,9.6,9.6,POINT (11.2571 43.7708)
35,122324,https://www.airbnb.com/rooms/122324,2021-12-17,613199,2011-05-22,6,Campo di Marte,43.80924,11.27349,Entire home/apt,12,5.0,549.0,5.6,23,53,83,253,19,1,0,048017LTN4431,t,2,0.17,2.8,1537.2,0.7671232876712328,0,1,1,0,0,1,1,1,4255.055705958575,0,0,0,0,1,0,0,1,1,1,1,16.799999999999997,9.6,POINT (11.2735 43.8092)
36,133411,https://www.airbnb.com/rooms/133411,2021-12-17,167739,2010-07-15,10,Centro Storico,43.77533,11.25254,Private room,2,1.0,72.0,2.0,15,17,34,285,9,2,0,,f,11,0.1,3.2,230.4,0.8767123287671234,0,0,1,0,0,1,0,0,372.8108348816542,1,0,0,0,0,0,1,0,1,1,0,19.200000000000003,19.200000000000003,POINT (11.2525 43.7753)
37,136910,https://www.airbnb.com/rooms/136910,2021-12-17,669847,2011-06-06,3,Centro Storico,43.77111,11.24893,Entire home/apt,1,1.0,44.0,4.0,29,59,89,364,53,1,0,,f,2,0.52,2.0,88.0,0.547945205479452,0,1,1,0,0,1,0,0,610.6577828039373,1,0,0,0,0,0,1,1,1,0,0,12.0,12.0,POINT (11.2489 43.7711)
38,141661,https://www.airbnb.com/rooms/141661,2021-12-17,688861,2011-06-11,7,Centro Storico,43.77255,11.26408,Entire home/apt,9,3.0,174.0,2.1,14,41,71,302,32,7,1,,t,3,0.27,11.2,1948.8,3.068493150684932,0,1,1,0,0,1,0,1,653.3975838102548,1,0,0,0,0,0,1,1,1,1,1,67.2,67.2,POINT (11.2641 43.7726)
39,147220,https://www.airbnb.com/rooms/147220,2021-12-17,4156491,2012-11-15,189,Centro Storico,43.77569,11.25229,Entire home/apt,8,3.0,365.0,3.0,23,53,80,291,66,2,1,048017LTN3439,t,125,0.53,3.2,1168.0,0.8767123287671234,0,1,1,0,0,1,1,1,414.76138100564106,1,0,0,0,0,0,0,1,1,1,1,19.200000000000003,67.2,POINT (11.2523 43.7757)
40,150675,https://www.airbnb.com/rooms/150675,2021-12-17,725879,2011-06-21,14,Centro Storico,43.77522,11.25454,Private room,2,1.0,48.0,1.9,18,46,74,243,690,53,6,,t,14,5.53,84.80000000000001,4070.4,23.23287671232877,0,0,1,0,0,1,0,1,263.248573024775,1,0,0,0,0,0,1,0,1,1,0,508.80000000000007,508.80000000000007,POINT (11.2545 43.7752)
41,160310,https://www.airbnb.com/rooms/160310,2021-12-17,768323,2011-07-02,6,Centro Storico,43.77521,11.24534,Entire home/apt,2,1.0,46.0,1.0,15,45,73,336,229,26,6,,t,4,1.83,41.6,1913.6,11.397260273972604,0,1,1,0,0,1,0,1,889.6783205857201,1,0,0,0,0,0,1,1,1,1,1,249.6,249.6,POINT (11.2453 43.7752)
42,160352,https://www.airbnb.com/rooms/160352,2021-12-17,768323,2011-07-02,6,Centro Storico,43.77586,11.2443,Entire home/apt,2,1.0,44.0,1.0,10,38,66,325,272,24,3,,t,4,2.31,38.400000000000006,1689.6,10.52054794520548,0,1,1,0,0,1,0,1,990.6194556124184,1,0,0,0,0,0,1,1,1,1,1,230.40000000000003,230.40000000000003,POINT (11.2443 43.7759)
43,160366,https://www.airbnb.com/rooms/160366,2021-12-17,768323,2011-07-02,6,Centro Storico,43.77427,11.24729,Entire home/apt,3,1.0,45.0,1.0,8,38,68,329,558,47,5,,t,4,4.5,75.2,3384.0,20.6027397260274,0,1,1,0,0,1,0,1,713.1934153168852,1,0,0,0,0,0,1,1,1,1,1,451.2000000000001,451.2000000000001,POINT (11.2473 43.7743)
44,160399,https://www.airbnb.com/rooms/160399,2021-12-17,768323,2011-07-02,6,Centro Storico,43.76584,11.2544,Entire home/apt,3,1.0,42.0,1.0,8,38,66,330,412,52,7,,t,4,3.3,83.2,3494.4,22.794520547945208,0,1,1,0,0,1,0,1,816.864567943566,1,0,0,0,0,0,1,1,1,1,1,499.2000000000001,499.2000000000001,POINT (11.2544 43.7658)
45,162037,https://www.airbnb.com/rooms/162037,2021-12-17,774842,2011-07-04,3,Rifredi,43.78974,11.25802,Private room,2,1.0,25.0,1.0,0,0,0,0,336,5,1,,t,1,3.96,8.0,200.0,2.191780821917808,0,0,1,0,0,1,0,1,1855.973926808664,0,0,0,1,0,0,1,0,1,0,0,48.0,48.0,POINT (11.258 43.7897)
46,174420,https://www.airbnb.com/rooms/174420,2021-12-17,833421,2011-07-18,1,Centro Storico,43.77225,11.24849,Entire home/apt,4,2.0,49.0,5.0,13,30,31,293,103,7,0,,f,1,0.83,17.5,857.5,4.794520547945205,0,1,0,1,0,0,0,0,611.9747329496315,1,0,0,0,0,0,1,1,0,1,0,105.0,105.0,POINT (11.2485 43.7722)
47,182984,https://www.airbnb.com/rooms/182984,2021-12-17,877420,2011-07-27,1,Centro Storico,43.76554,11.2586,Entire home/apt,4,1.0,80.0,4.0,20,50,80,263,9,1,0,,f,1,0.1,2.0,160.0,0.547945205479452,0,1,0,1,0,0,0,0,865.6681799777061,1,0,0,0,0,0,1,1,0,1,0,12.0,12.0,POINT (11.2586 43.7655)
48,189586,https://www.airbnb.com/rooms/189586,2021-12-17,914650,2011-08-03,2,Campo di Marte,43.77069,11.27713,Entire home/apt,4,1.0,110.0,4.0,15,45,75,327,40,6,0,,t,2,0.37,12.0,1320.0,3.287671232876712,0,1,0,0,1,1,0,1,1722.1804938941675,0,0,0,0,1,0,1,1,0,0,0,72.0,72.0,POINT (11.2771 43.7707)
49,193675,https://www.airbnb.com/rooms/193675,2021-12-17,939139,2011-08-08,1,Centro Storico,43.76778,11.24119,Entire home/apt,4,1.0,49.0,2.0,18,48,78,353,70,10,0,,f,1,0.56,16.0,784.0,4.383561643835616,0,1,0,1,0,0,0,0,1330.8893432658786,1,0,0,0,0,0,1,1,0,1,0,96.0,96.0,POINT (11.2412 43.7678)
50,197711,https://www.airbnb.com/rooms/197711,2021-12-17,294068,2010-11-21,2,Centro Storico,43.77249,11.26121,Entire home/apt,3,1.0,107.0,2.0,25,55,85,334,69,10,0,,f,1,1.03,16.0,1712.0,4.383561643835616,0,1,0,0,1,1,0,0,424.90581417869294,1,0,0,0,0,0,1,1,0,0,0,96.0,96.0,POINT (11.2612 43.7725)
51,206127,https://www.airbnb.com/rooms/206127,2021-12-17,1013874,2011-08-24,1,Centro Storico,43.77902,11.25281,Entire home/apt,3,1.0,63.0,2.0,15,45,75,132,192,8,0,,f,1,1.54,12.8,806.4,3.5068493150684934,0,1,0,1,0,1,0,0,706.1174989686683,1,0,0,0,0,0,1,1,0,0,0,76.80000000000001,76.80000000000001,POINT (11.2528 43.779)
52,209838,https://www.airbnb.com/rooms/209838,2021-12-17,1034057,2011-08-29,4,Centro Storico,43.77318,11.24431,Entire home/apt,4,1.0,68.0,2.0,22,52,82,353,293,11,0,,f,2,2.43,17.6,1196.8,4.821917808219178,0,1,1,0,0,0,0,0,941.2175525935364,1,0,0,0,0,0,1,1,1,1,0,105.6,105.6,POINT (11.2443 43.7732)
53,222527,https://www.airbnb.com/rooms/222527,2021-12-17,804468,2011-07-11,3,Rifredi,43.82004,11.22006,Entire home/apt,4,1.0,42.0,2.0,18,48,78,168,266,2,0,,f,2,2.15,3.2,134.4,0.8767123287671234,0,1,1,0,0,1,0,0,5963.794531692554,0,0,0,1,0,0,1,1,1,0,0,19.200000000000003,19.200000000000003,POINT (11.2201 43.82)
54,224562,https://www.airbnb.com/rooms/224562,2021-12-17,1168814,2011-09-16,2,Centro Storico,43.772,11.26142,Entire home/apt,4,1.0,90.0,3.0,8,38,60,295,87,1,0,,t,1,0.73,1.6,144.0,0.4383561643835617,0,1,0,0,1,1,0,1,453.1670518468073,1,0,0,0,0,0,1,1,0,0,0,9.6,9.6,POINT (11.2614 43.772)
55,224669,https://www.airbnb.com/rooms/224669,2021-12-17,1169561,2011-09-16,3,Campo di Marte,43.76796,11.2714,Entire home/apt,4,1.0,65.0,2.0,8,8,37,217,24,2,0,,t,3,0.58,3.2,208.0,0.8767123287671234,0,1,1,0,0,1,0,1,1365.124383031295,0,0,0,0,1,0,1,1,1,0,1,19.200000000000003,19.200000000000003,POINT (11.2714 43.768)
56,227059,https://www.airbnb.com/rooms/227059,2021-12-17,1184498,2011-09-20,1,Centro Storico,43.77022,11.2561,Private room,2,1.0,28.0,1.0,15,45,75,75,333,43,5,,f,2,3.05,68.8,1926.4,18.84931506849315,0,0,0,1,0,1,0,0,320.0916937322799,1,0,0,0,0,0,1,0,0,0,0,412.8,412.8,POINT (11.2561 43.7702)
57,230853,https://www.airbnb.com/rooms/230853,2021-12-17,1206885,2011-09-25,1,Campo di Marte,43.77388,11.2844,Private room,2,1.0,41.0,2.0,18,48,78,341,428,20,2,prot. 296885 pratica 7649/2014/SUAP Firenze pratica telematica MRDMRM51H67Z224N-01122014-1431,f,1,3.69,32.0,1312.0,8.767123287671232,0,0,0,1,0,1,1,0,2288.1456932394963,0,0,0,0,1,0,0,0,0,0,0,192.0,412.8,POINT (11.2844 43.7739)
58,238351,https://www.airbnb.com/rooms/238351,2021-12-17,866134,2011-07-25,3,Centro Storico,43.76914,11.24193,Entire home/apt,4,1.0,74.0,6.9,6,12,14,66,46,3,0,,f,1,0.39,10.35,765.9,2.8356164383561646,0,1,1,0,0,1,0,0,1215.2748014846045,1,0,0,0,0,0,1,1,1,0,0,62.10000000000001,62.10000000000001,POINT (11.2419 43.7691)
59,240985,https://www.airbnb.com/rooms/240985,2021-12-17,681999,2011-06-09,1,Centro Storico,43.77701,11.25421,Private room,1,1.0,41.0,3.0,21,51,81,81,339,4,2,,f,1,2.74,6.4,262.4,1.7534246575342467,0,0,0,1,0,1,0,0,457.7102856633865,1,0,0,0,0,0,1,0,0,0,0,38.400000000000006,38.400000000000006,POINT (11.2542 43.777)
60,250470,https://www.airbnb.com/rooms/250470,2021-12-17,1312791,2011-10-19,1,Centro Storico,43.78118,11.23266,Entire home/apt,4,1.0,76.0,3.0,21,51,81,338,106,15,0,,f,1,0.92,24.0,1824.0,6.575342465753424,0,1,0,1,0,1,0,0,2082.455214640657,1,0,0,0,0,0,1,1,0,0,0,144.0,144.0,POINT (11.2327 43.7812)
61,251811,https://www.airbnb.com/rooms/251811,2021-12-17,274074,2010-10-29,22,Centro Storico,43.7733,11.24754,Entire home/apt,6,2.0,120.0,3.0,24,54,84,359,153,1,1,,t,12,1.26,1.6,192.0,0.4383561643835617,0,1,1,0,0,1,0,1,681.4862111215555,1,0,0,0,0,0,1,1,1,1,1,9.6,9.6,POINT (11.2475 43.7733)
62,255154,https://www.airbnb.com/rooms/255154,2021-12-17,1340797,2011-10-27,2,Campo di Marte,43.76814,11.28079,Entire home/apt,4,2.0,74.0,2.0,8,31,56,295,182,2,0,,f,2,1.75,3.2,236.8,0.8767123287671234,0,1,0,0,1,1,0,0,2070.638633771988,0,0,0,0,1,0,1,1,0,0,0,19.200000000000003,19.200000000000003,POINT (11.2808 43.7681)
63,261285,https://www.airbnb.com/rooms/261285,2021-12-17,1369058,2011-11-04,11,Gavinana Galluzzo,43.76101,11.27991,Entire home/apt,2,,58.0,3.0,26,56,86,361,299,18,0,,t,10,2.59,28.8,1670.4,7.890410958904109,0,1,1,0,0,1,0,1,2347.529528144039,0,1,0,0,0,0,1,1,1,1,1,172.8,172.8,POINT (11.2799 43.761)
64,270205,https://www.airbnb.com/rooms/270205,2021-12-17,1414775,2011-11-16,2,Centro Storico,43.77299,11.26279,Entire home/apt,2,1.0,49.0,4.0,22,52,82,82,168,4,0,048017LTN1842,f,2,1.42,8.0,392.0,2.191780821917808,0,1,0,0,1,0,1,0,546.8083160130211,1,0,0,0,0,0,0,1,0,1,0,48.0,172.8,POINT (11.2628 43.773)
65,271153,https://www.airbnb.com/rooms/271153,2021-12-17,264805,2010-10-18,6,Campo di Marte,43.78202,11.32323,Entire home/apt,2,1.0,29.0,2.0,22,52,82,357,288,26,4,,f,1,2.38,41.6,1206.4,11.397260273972604,0,1,1,0,0,0,0,0,5502.359730491931,0,0,0,0,1,0,1,1,1,1,0,249.6,249.6,POINT (11.3232 43.782)
66,273691,https://www.airbnb.com/rooms/273691,2021-12-17,725879,2011-06-21,14,Centro Storico,43.77531,11.25456,Private room,4,1.0,53.0,1.8,7,37,67,310,652,33,3,,t,14,5.37,52.8,2798.4,14.465753424657535,0,0,1,0,0,1,0,1,271.54129193670144,1,0,0,0,0,0,1,0,1,1,0,316.8,316.8,POINT (11.2546 43.7753)
67,279009,https://www.airbnb.com/rooms/279009,2021-12-17,45991,2009-10-15,2,Centro Storico,43.77326,11.24596,Entire home/apt,2,1.0,60.0,3.1,24,54,84,352,249,10,0,,t,1,2.21,16.0,960.0,4.383561643835616,0,1,0,0,1,1,0,1,808.5270707542542,1,0,0,0,0,0,1,1,0,0,0,96.0,96.0,POINT (11.246 43.7733)
