CODREG,REGIONE,CODPRO,PROVINCIA,CODCOM,COMUNE,PROCOM,SEZ2011,NSEZ,ACE,CODLOC,CODASC,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P64,P65,P66,P128,P129,P130,P131,P132,P135,P136,P137,P138,P139,P140,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8,ST9,ST10,ST11,ST12,ST13,ST14,ST15,A2,A3,A5,A6,A7,A44,A46,A47,A48,PF1,PF2,PF3,PF4,PF5,PF6,PF7,PF8,PF9,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170061187","61187","43","10002","4","53","27","26","18","29","0","5","1","12","14","0","0","1","1","0","2","0","4","4","2","5","2","2","1","4","9","11","5","1","1","0","2","0","2","3","1","3","1","2","0","2","1","5","3","1","52","5","23","17","7","0","0","26","2","13","7","4","0","0","27","24","2","16","14","2","23","8","4","1","0","0","0","19","4","18","8","5","1","3","2","0","1","0","0","2","0","0","3","0","0","5","24","0","0","0","0","1854","2","22","1","25","53","9","5","10","1","0","0","0","1","1","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","24","0","1","0","0"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170061188","61188","43","10002","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170061189","61189","43","10002","4","29","15","14","11","17","0","0","1","6","9","0","0","0","2","1","1","0","1","1","3","2","3","1","0","5","5","3","0","1","1","1","1","0","0","0","1","1","1","1","0","3","3","1","0","1","27","2","9","8","6","2","0","14","0","3","6","3","2","0","13","11","2","5","5","0","12","7","2","1","0","0","0","9","4","9","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","1033","0","13","2","15","29","7","4","2","2","0","0","0","1","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","14","0","1","0","0"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170061190","61190","43","10002","4","12","5","7","3","6","0","2","1","0","3","0","1","1","0","1","0","0","1","1","0","0","2","0","0","1","2","2","0","2","0","0","0","0","0","0","0","0","1","0","0","0","2","1","0","1","11","1","2","4","4","0","0","5","0","1","2","2","0","0","5","5","0","3","3","0","6","2","1","0","0","1","0","5","0","4","2","3","1","1","2","0","0","1","0","0","0","0","3","0","0","3","6","0","0","0","0","434","1","5","0","6","12","2","2","2","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170061191","61191","43","10002","4","30","15","15","16","8","0","2","4","10","4","0","0","1","3","2","0","0","1","2","4","4","3","2","0","3","1","0","1","4","2","1","0","0","1","1","2","2","3","0","0","2","1","0","0","0","26","1","6","12","5","1","1","13","1","2","8","1","1","0","16","14","2","10","9","1","9","2","2","0","0","2","1","12","2","5","1","5","3","2","2","1","2","0","1","1","0","3","1","0","0","5","14","1","0","1","0","1010","2","10","2","14","30","7","2","2","2","1","0","0","2","2","2","0","1","1","0","1","0","1","0","0","0","0","0","0","0","0","2","0","0","0","1","0","1","0","15","0","1","1","0"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170061193","61193","21","10002","2","8","4","4","4","3","0","0","1","1","2","0","0","1","0","1","0","0","2","0","0","0","1","1","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","2","0","0","0","0","8","0","4","1","0","3","0","4","0","3","0","0","1","0","6","5","1","4","4","0","1","0","1","0","0","0","0","2","2","0","0","1","1","1","0","0","1","0","0","0","0","1","0","0","0","1","5","0","0","0","0","390","3","2","0","5","8","3","1","1","0","0","0","0","2","2","1","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","7","0","1","0","0"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170061194","61194","14","10002","1","134","58","76","49","65","5","11","4","19","31","4","2","2","5","3","4","6","5","9","7","7","6","14","7","14","14","9","6","18","1","0","1","3","4","4","5","3","4","8","6","4","10","3","1","1","128","27","42","36","20","3","0","57","14","21","19","3","0","0","50","48","1","31","29","1","72","25","14","11","6","14","3","56","2","33","16","2","0","1","1","0","0","0","0","1","0","0","1","0","0","2","48","1","0","1","0","5071","35","8","6","49","115","14","12","16","6","1","0","0","19","19","6","13","5","1","0","3","2","1","0","0","0","0","0","0","0","1","1","4","1","0","1","0","4","0","55","2","3","1","0"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170061195","61195","43","10002","4","40","21","19","14","20","1","4","1","10","10","0","1","0","3","0","1","1","2","3","2","5","4","2","2","4","4","1","1","5","2","0","1","0","1","2","1","3","3","1","0","2","2","1","1","1","37","6","14","7","10","0","0","19","2","9","3","5","0","0","22","22","0","13","13","0","14","5","4","1","0","1","1","18","7","8","4","8","4","4","2","2","2","1","1","7","0","1","0","0","0","8","17","2","0","2","0","1183","2","14","1","17","40","6","4","4","2","0","1","6","1","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","16","0","1","0","0"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170061196","61196","42","10002","4","90","26","64","26","11","1","51","1","14","7","0","4","1","0","0","4","3","0","0","0","1","0","2","6","0","0","5","7","62","0","0","4","1","0","0","0","1","0","0","3","0","0","2","1","14","90","4","10","15","29","30","2","26","3","4","3","9","6","1","10","8","2","5","4","1","76","17","0","2","0","0","0","10","2","74","17","1","0","0","1","0","0","0","0","1","0","0","0","0","0","1","7","1","0","1","0","572","1","5","2","8","19","3","1","3","0","1","0","0","10","10","7","3","5","2","0","0","4","2","0","0","1","0","0","0","0","6","0","1","4","3","0","0","0","0","10","6","1","0","0"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170061197","61197","25","10002","2","162","72","90","52","73","5","29","3","24","38","1","7","2","6","6","9","5","5","5","3","7","8","18","11","7","13","8","13","38","3","3","3","3","2","1","2","2","4","10","5","3","5","4","8","14","155","34","47","30","36","8","0","69","14","25","14","13","3","0","58","54","4","29","26","3","83","34","12","9","6","4","1","72","8","58","27","8","2","3","4","1","0","1","1","2","0","5","1","0","0","8","76","3","0","3","0","7162","9","64","4","77","162","29","27","9","8","4","0","0","4","4","4","0","0","4","0","0","1","1","2","0","0","0","0","0","0","0","0","4","0","0","0","0","1","3","79","3","1","0","0"
